p
971
idx PDG vx vy vz vt px py pz
130 22 -197.424 19.5769 1535 7.63774 -0.00634431 0.00613309 0.0348876
131 22 264.223 -55.5382 1535 6.92006 0.265944 -0.117621 1.56866
132 22 -94.1235 234.516 1535 9.45789 -0.00555554 0.024393 0.0711749
133 2112 -252.486 197.424 1535 23.8528 -43.0938 30.95 221.361
134 22 250.675 182.04 1535 357.224 0.0176229 0.0120273 0.0726273
135 22 -186.516 -176.23 1535 6128.27 -0.291536 -0.335442 2.17817
136 2112 -179.177 255.19 1535 28.8747 -47.025 35.0122 179.911
137 2112 -101.001 -84.3696 1535 21.5601 -21.1132 -23.8447 246.518
138 22 253.077 213.108 1535 6.98717 0.25283 0.220621 1.77687
139 22 7.24594 -117.5 1535 6.40107 0.224934 -0.754048 7.42713
140 2112 -53.5285 203.674 1535 24.9258 -31.4549 38.7102 209.592
141 2112 -80.9394 112.949 1535 18.342 -11.3625 30.2259 300.055
142 22 215.477 149.345 1535 7.1487 0.741285 0.467965 4.43022
143 2112 -82.9993 167.962 1535 25.6324 -29.4654 30.1435 205.916
144 2112 -216.31 18.147 1535 20.4862 -39.3472 4.66283 262.375
145 22 225.938 -49.31 1535 7.20627 0.186111 -0.0357745 0.656149
146 22 -95.662 -193.099 1535 7.08608 -0.342593 -0.77616 5.13377
147 2112 108.892 182.907 1535 24.2391 38.9868 37.8999 216.383
148 2112 -62.118 264.852 1535 514.574 0.493818 0.896625 10.0108
149 22 176.9 266.648 1535 407.032 0.428178 1.13203 4.27427
150 11 -264.077 84.1761 1535 124.016 -0.280975 0.303295 2.40467
151 22 -134.303 -23.4557 1535 9.03035 -0.207114 -0.0293592 4.45058
152 2112 39.3966 9.42317 1535 20.5192 0.887961 7.84869 263.027
153 2112 84.2846 -187.182 1535 24.6363 9.78595 -49.8746 211.96
154 22 56.2382 267.956 1535 6.95153 0.00408318 0.0826684 0.391439
155 22 -4.77086 -289.218 1535 206.026 0.604337 -0.443529 4.38005
156 22 280.822 277.02 1535 8.5887 0.0426516 0.00494945 0.141059
157 2112 -16.4356 103.631 1535 17.3349 -5.35513 19.8714 321.908
158 22 -140.625 172.983 1535 11427.9 -0.347637 0.139898 2.19124
159 22 63.0877 -245.662 1535 6.80854 0.116724 -0.755393 3.70906
160 22 259.602 -55.8885 1535 149.893 0.151379 0.198765 1.08413
161 22 -102.399 -101.44 1535 122.375 -0.689928 -0.0705422 4.3888
162 2112 -11.2497 70.8797 1535 21.7164 -11.9305 2.60332 241.463
163 22 102.666 100.35 1535 162.356 0.00500102 0.0104569 0.0599519
164 22 -156.734 -241.082 1535 161.331 -0.0172669 -0.0114568 0.0571709
165 2112 -261.865 -297.297 1535 29.1299 -34.8725 -25.3808 183.422
166 22 194.675 60.2633 1535 415.277 0.233558 0.319756 4.80878
167 22 7.95985 100.69 1535 48.2893 -0.0757241 0.158265 1.58051
168 22 -70.7724 255.306 1535 7.95761 -0.00486517 0.00205041 0.0560322
169 22 139.813 -299.671 1535 240.321 -0.0048472 -0.787222 4.7609
170 2112 -225.8 227.245 1535 292.953 -2.22184 4.19078 12.1595
171 22 287.563 -291.857 1535 6.92395 0.62833 -0.694421 3.57736
172 22 -162.3 -277.533 1535 6.84602 -0.360525 -0.573333 2.27396
173 22 -198.231 110.162 1535 6.59445 -0.331086 0.475132 3.6485
174 22 -164.233 -153.144 1535 6.9602 -0.250103 -0.352237 3.21747
175 22 256.041 -93.8055 1535 7.83215 0.0283979 -0.00686432 0.0952929
176 22 -159.151 132.218 1535 7.08506 -0.0173951 0.288982 1.76962
177 2112 -253.661 90.2978 1535 25.1464 -26.9674 17.4236 208.812
178 2112 -279.343 71.8186 1535 34.3745 -27.4437 6.11938 148.021
179 2112 237.984 116.954 1535 69.9523 8.83286 4.04837 57.5255
180 22 -268.565 -147.008 1535 7.0406 -0.776433 -0.275507 3.64678
181 2112 -283.688 -18.2449 1535 25.9977 -48.2684 4.46302 201.711
182 22 -186.091 -25.1968 1535 1754.9 -0.0247395 0.017309 0.510106
183 22 222.042 252.522 1535 7.4316 0.132518 0.377017 1.07739
184 2112 182.162 13.4158 1535 18.4668 30.6491 -0.756019 297.897
185 2112 -152.584 216.582 1535 17.5627 -31.6994 35.7685 317.575
186 22 192.692 -123.026 1535 1083.62 0.120498 -0.048248 0.394637
187 22 258.671 85.6699 1535 9.24473 0.498238 0.0188093 4.11959
188 22 -147.98 35.8446 1535 295.668 -0.235813 0.432811 2.12582
189 22 -150.541 73.0586 1535 6.94427 -0.580205 0.352097 4.72271
190 22 -235.631 -192.408 1535 11.246 -0.928416 -0.306729 4.37902
191 22 -163.209 -169.612 1535 6.6659 -0.792399 -0.77378 9.70538
192 22 -58.8704 -294.322 1535 90.6018 0.0172269 -0.0881201 0.400703
193 22 -293.165 -156.03 1535 7.03975 -1.19438 -0.772979 6.46527
194 22 57.5507 194.907 1535 7.00912 0.00980134 0.0627729 0.335069
195 2112 82.0486 -147.325 1535 20.5639 17.1148 -45.3991 258.059
196 22 -255.335 9.70526 1535 7.10681 -1.40942 0.0328749 7.02367
197 22 293.99 -256.934 1535 7.12087 1.21737 -0.894954 6.58299
198 2112 192.247 -27.099 1535 16.5614 50.473 -8.17033 340.72
199 22 108.174 -258.717 1535 4946.13 0.279319 -0.42211 1.8683
200 22 211.529 -179.444 1535 6.6112 0.502798 -0.611236 4.32768
